Zona ;Nome;Domicilios;Familias;Populacao;RendaTotal;RendaMediaFamiliar;RendaPerCapita;RendaMedianaFamiliar;MatriculasEscolares;Empregos;AutomoveisParticulares;Area;ViagensDeBicicleta
1;Sé;1151;1151;3262;3757212;3264;1152;2884;6363;71852;326;57;146
2;Parque Dom Pedro;2342;2342;5695;7270945;3105;1277;2884;1433;51854;891;114;737
3;Praça João Mendes;7100;7100;17130;27827235;3919;1624;3400;2399;18547;1166;48;331
4;Ladeira da Memória;12588;12588;24089;65571511;5209;2722;3580;1127;22554;3401;75;1084
5;República;8050;8050;14956;34199117;4248;2287;3500;1727;89487;1737;75;1379
6;Santa Ifigênia;9411;9411;21989;25210175;2679;1146;2324;2039;38372;1445;83;1565
7;Luz;6342;6342;18210;26804909;4227;1472;3988;6873;35048;2401;155;1706
8;Bom Retiro;3834;4111;12252;13815270;3361;1128;2800;3280;15080;1748;143;566
9;Ponte Pequena;2267;2267;7456;7670743;3384;1029;2500;6413;16492;487;130;513
10;Canindé;467;467;1619;1026509;2198;634;2324;7048;6713;134;83;336
11;Bom Jardim;932;932;2713;3239452;3476;1194;3000;1471;3901;488;50;83
12;Pari;4741;4741;14381;16593524;3500;1154;2589;1928;21068;2085;140;1293
13;João Teodoro;423;423;1435;1155117;2731;805;2550;266;9281;103;39;38
14;Oriente;1104;1104;3337;3254031;2947;975;2733;1959;27939;329;70;82
15;Bresser;3148;3247;8427;8881359;2735;1054;2500;162;14171;897;77;253
16;Brás;4589;4589;12117;14719349;3208;1215;3044;3420;18484;2246;109;1046
17;Gasômetro;2411;2430;6980;7399420;3045;1060;3000;5504;9361;597;69;295
18;Independência;6592;6592;19240;33426649;5071;1737;3778;3762;24090;3672;254;545
19;Cambuci;7490;7490;20732;39806787;5315;1920;4949;4590;16448;5235;140;226
20;Glicério;9042;9042;23063;53798444;5950;2333;4800;3614;8159;6862;108;212
21;Aclimação;7404;7404;18691;43730165;5906;2340;6143;3860;9685;5517;114;160
22;Pires da Mota;5996;5996;13623;32541950;5427;2389;4000;4513;8425;3263;50;200
23;Centro Cultural;2553;2553;5332;10538207;4128;1976;3580;33076;17915;1279;33;234
24;Liberdade;5364;5364;11423;19459948;3628;1704;3213;53168;17996;1659;59;339
25;Treze de Maio;7996;7996;18401;29020381;3629;1577;3044;4010;12142;2582;43;570
26;Bexiga;6375;6494;14281;28488739;4387;1995;4209;8564;13420;2564;52;269
27;Bela Vista;7636;7636;17536;59604484;7806;3399;6000;12922;44855;6620;94;599
28;São Carlos do Pinhal;4411;4411;9068;23630676;5357;2606;4689;8922;28433;2738;31;302
29;Masp;7089;7089;13251;42453060;5989;3204;4949;4904;45411;2916;57;359
30;Higienópolis;9038;9197;19455;85293762;9274;4384;6843;3796;18583;7884;68;1457
31;Vila Buarque;11259;11259;20034;50023393;4443;2497;3800;37088;27102;5014;90;208
32;Consolação;4590;4590;8556;26142655;5696;3055;4949;15091;48237;2587;57;287
33;Pacaembu;587;587;1839;6887275;11733;3745;11000;541;3126;865;90;53
34;FAAP;3191;3191;7556;40305292;12631;5334;9000;5443;9965;3655;74;155
35;Santa Cecília;19105;19105;40032;74485828;3899;1861;3044;8462;35793;6481;144;394
36;Marechal Deodoro;18909;19001;43094;104784973;5515;2432;4443;11004;33133;11359;142;1189
37;Rudge;1525;1525;4607;8495747;5571;1844;5000;2544;19020;1119;85;1181
39;Belém;3087;3087;9357;13688674;4434;1463;3580;3216;8952;2039;161;7
40;Quarta Parada;2593;2593;7878;9397374;3624;1193;3000;5999;17654;1381;127;80
41;Belenzinho;7268;7452;22051;27707413;3718;1257;3200;7724;24408;4258;180;198
42;Celso Garcia;1537;1537;5328;5933453;3860;1114;2900;385;8745;431;64;721
43;Mooca;10102;10102;27958;54218691;5367;1939;5000;37812;23692;8922;272;700
44;Alto da Mooca;6583;6583;18350;34154471;5188;1861;4100;4064;18042;4607;142;433
45;Parque da Mooca;11979;11979;33271;59888652;4999;1800;4860;5703;33482;12166;381;1780
46;Água Rasa;12267;12883;36270;54927686;4264;1514;3391;9682;16582;7619;316;434
47;Vila Bertioga;8194;8194;23003;36475656;4452;1586;3500;2050;11977;9052;195;452
48;Regente Feijó;8524;8524;23924;35954113;4218;1503;4000;5798;14867;6105;204;514
49;Ana Rosa;5876;5876;13386;35963758;6120;2687;4600;6182;20009;3929;94;283
50;Jardim da Glória;3276;3276;8896;16486346;5032;1853;4209;1651;1845;3574;88;286
51;Chácara Klabin;6123;6123;16085;57683133;9421;3586;7500;2587;7165;4664;98;126
53;Santa Cruz;5140;5140;13293;35196373;6848;2648;6483;9056;23052;5271;109;460
54;Vila Clementino;3902;3902;8715;22957189;5883;2634;4689;4283;29725;2868;94;937
55;França Pinto;6384;6384;15518;36108364;5656;2327;5224;10615;15678;6203;112;320
56;Rodrigues Alves;9697;9896;21617;66725529;6743;3087;6000;9888;22143;5907;104;910
57;Paraíso;10462;10462;24334;79982748;7645;3287;6143;4745;45145;9245;96;994
58;Bosque da Saúde;12094;12094;30779;68460932;5661;2224;4500;3320;16428;12205;170;145
59;Saúde;20718;20718;52745;129214201;6237;2450;4443;15870;31651;13546;261;2638
60;Planalto Paulista;8102;8316;22059;60733141;7303;2753;5514;4252;15388;8597;322;971
61;Mirandópolis;12065;12065;28100;74799270;6200;2662;5224;13448;18735;10220;173;298
62;Parque Ibirapuera;1993;1993;4565;14401170;7226;3155;6592;652;19995;2086;284;419
63;Jardim Luzitânia;635;635;2099;6326234;9963;3014;9462;1271;12650;922;103;151
64;Moema;14875;14875;33386;117341373;7889;3515;6483;3990;41272;15218;175;2963
65;Vila Helena;11980;11980;26860;102874682;8587;3830;7624;9630;17556;15423;105;796
66;Bandeirantes;4813;4813;10923;41017462;8522;3755;6143;3581;22527;5858;133;278
67;Vila Nova Conceição;4445;4445;10574;40838065;9187;3862;8047;1151;8765;4642;112;159
68;Chácara Itaim;12783;12783;27460;81689560;6390;2975;6483;6213;73566;11339;204;3473
69;Vila Olímpia;4948;4948;10021;44688444;9032;4459;8000;2981;23463;4451;90;1696
70;Hélio Pelegrino;5369;5369;11703;36824375;6859;3147;5820;10184;20324;6418;103;375
